GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-governments eis,org.egov.eis.reports.entity,EmployeeAssignmentSearch,80,0,0,0,34,0,23,0,23,0
e-governments eis,org.egov.eis.reports.entity,EmployeePositionSearch,31,0,0,0,13,0,9,0,9,0
e-governments eis,org.egov.pims.commons.dao,DesignationMasterDAO,218,0,22,0,53,0,21,0,10,0
e-governments eis,org.egov.pims.commons.dao,PositionMasterDAO,165,0,6,0,40,0,12,0,9,0
e-governments eis,org.egov.eis.web.actions.workflow,GenericWorkFlowAction,325,0,28,0,79,0,43,0,29,0
e-governments eis,org.egov.eis.service,PositionMasterService,512,0,52,0,100,0,57,0,31,0
e-governments eis,org.egov.eis.service,PersonalInformationService,22,0,0,0,7,0,4,0,4,0
e-governments eis,org.egov.eis.service,AssignmentService,695,0,64,0,137,0,82,0,50,0
e-governments eis,org.egov.eis.service,EmployeeViewService,19,0,0,0,5,0,3,0,3,0
e-governments eis,org.egov.eis.service,EisCommonService,147,0,6,0,25,0,19,0,16,0
e-governments eis,org.egov.eis.service,PositionHierarchyService,115,0,24,0,22,0,21,0,9,0
e-governments eis,org.egov.eis.service,DesignationService,88,0,2,0,17,0,15,0,14,0
e-governments eis,org.egov.eis.service,JurisdictionService,80,0,6,0,18,0,10,0,7,0
e-governments eis,org.egov.eis.service,EmployeeGrievanceService,406,0,34,0,76,0,26,0,9,0
e-governments eis,org.egov.eis.service,EmployeeGrievanceTypeService,52,0,0,0,10,0,8,0,8,0
e-governments eis,org.egov.eis.service,EmployeeTypeService,43,0,0,0,13,0,8,0,8,0
e-governments eis,org.egov.eis.service,DeptDesigService,35,0,0,0,11,0,6,0,6,0
e-governments eis,org.egov.eis.service,HeadOfDepartmentsService,36,0,2,0,11,0,6,0,5,0
e-governments eis,org.egov.eis.service,OldEmployeeService,1145,0,140,0,227,0,113,0,43,0
e-governments eis,org.egov.eis.service.scheduler.jobs,UserRoleMappingJob,7,0,0,0,3,0,2,0,2,0
e-governments eis,org.egov.eis.service.es.dashboard,EmployeeStatisticsDashboardService,1025,0,40,0,189,0,34,0,14,0
e-governments eis,org.egov.eis.service.es.dashboard,EmployeeDetailsDashboardService,321,0,28,0,37,0,16,0,2,0
e-governments eis,org.egov.eis.web.contract,WorkflowContainer,87,0,0,0,37,0,25,0,25,0
e-governments eis,org.egov.pims.service,EisUtilService,992,0,164,0,165,0,93,0,11,0
e-governments eis,org.egov.pims.service,EmployeeServiceImpl,4748,0,540,0,981,0,342,0,72,0
e-governments eis,org.egov.pims.service,PersonalInformationService,825,0,72,0,140,0,56,0,20,0
e-governments eis,org.egov.pims.service,SearchPositionService,197,0,38,0,39,0,23,0,4,0
